id,category_name,activity_title,activity_id,longitude,latitude,date,image,comment,gender,age_range,disability,puntuacion
697,Bienestar Socioeconómico,Actividades culturales,103,-110.92619099999644,29.08975216479884,2023-12-15 00:29:48.557716+00:00,images/2744e5ce-6600-4b06-bff6-13b9f38ed3d1.jpg,"los vecinos hacen todo, organizan, limpian y dan mantenimiento",MUJER,56_65,NINGUNA,93
579,Bienestar Socioeconómico,Actividades culturales,103,-110.92652609999698,29.08997936479291,2023-12-15 00:25:40.792698+00:00,images/0edc3efe-7a4e-43f0-8ce0-4936c5637107.jpg,si vino gente solo falto luz,MUJER,56_65,VISUAL,93
568,Bienestar Socioeconómico,Actividades culturales,103,-110.92761853816312,29.090523472146792,2023-12-15 00:20:51.283590+00:00,images/6e6782da-d2ff-4c6f-a3a3-f109c3df3b66.jpg,,HOMBRE,MENOS_18,NINGUNA,100
506,Bienestar Socioeconómico,Actividades culturales,103,-110.9261535044511,29.089750281050875,2023-12-15 00:13:28.261558+00:00,,,HOMBRE,26_35,NINGUNA,33
359,Bienestar Socioeconómico,Actividades culturales,103,-110.9264743102917,29.09006166764182,2023-12-14 23:18:48.603551+00:00,images/a20bfeab-5d78-433f-8920-c7285e29804b.jpg,,MUJER,18_25,NINGUNA,60
710,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92576704860224,29.09154838088258,2023-12-15 00:29:53.387274+00:00,,,HOMBRE,36_45,NINGUNA,80
708,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92550463090171,29.09162367320389,2023-12-15 00:29:53.387107+00:00,images/1a69ec93-bd08-4b33-b1e4-debf72b050e3.jpg,,HOMBRE,36_45,NINGUNA,80
695,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92666618061142,29.090753542383688,2023-12-15 00:29:48.557407+00:00,images/cd8b94ac-57d2-40ad-97a7-9a0c5aa77115.jpg,,MUJER,56_65,NINGUNA,100
693,Bienestar Socioeconómico,Actividades de comercio local,104,-110.9254766000014,29.09162626472681,2023-12-15 00:29:48.557016+00:00,images/8ea2c69a-7584-47c8-9480-b18ffc6b0429.jpg,,MUJER,56_65,NINGUNA,80
604,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92602292614217,29.091311874027816,2023-12-15 00:26:16.017018+00:00,images/7f9e4611-3f15-404d-973f-d782e4ff3b15.jpg,,MUJER,36_45,NINGUNA,86
593,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92589010000825,29.090909064777307,2023-12-15 00:25:40.793735+00:00,images/4e5346ff-d725-4857-b87c-7defe5d113a4.jpg,,MUJER,56_65,VISUAL,53
592,Bienestar Socioeconómico,Actividades de comercio local,104,-110.9260421000022,29.09126686475828,2023-12-15 00:25:40.793672+00:00,,,MUJER,56_65,VISUAL,86
591,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92594790000705,29.091386264747705,2023-12-15 00:25:40.793608+00:00,images/518af1cc-b190-4a62-98e2-0f5e89f9e97a.jpg,,MUJER,56_65,VISUAL,86
590,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92540550000336,29.09171326472609,2023-12-15 00:25:40.793544+00:00,images/080d748a-f35b-41aa-b904-18642158cd3a.jpg,,MUJER,56_65,VISUAL,93
589,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92510810000168,29.09179816471632,2023-12-15 00:25:40.793446+00:00,images/8a922af5-f252-4bf0-93d0-1ff8ae993b69.jpg,,MUJER,56_65,VISUAL,73
588,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92539371961676,29.09423360230837,2023-12-15 00:25:40.793380+00:00,,,MUJER,56_65,VISUAL,80
587,Bienestar Socioeconómico,Actividades de comercio local,104,-110.9251581294096,29.09370063143328,2023-12-15 00:25:40.793312+00:00,images/49717d9b-2735-44a2-90a8-9e7ac6f08adc.jpg,,MUJER,56_65,VISUAL,73
584,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92727879999867,29.0936794646606,2023-12-15 00:25:40.793038+00:00,images/64498368-36df-4f69-be86-d47b7a8700c8.jpg,causa contaminación y llegan personas en estado de ebriedad intoxicación por amoniaco,MUJER,56_65,VISUAL,60
580,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92737830000294,29.09072876475554,2023-12-15 00:25:40.792766+00:00,images/b6879e7e-d9b2-4434-aefb-4da17c19fb05.jpg,tienda de abarrotes,MUJER,56_65,VISUAL,87
564,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92752943615947,29.09015245618982,2023-12-15 00:20:51.283346+00:00,images/1990f6a5-72f9-4834-b3d2-fad88cc60908.jpg,,HOMBRE,MENOS_18,NINGUNA,100
560,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92680854888192,29.08933585058293,2023-12-15 00:20:51.283098+00:00,images/be429e9b-1b24-488d-808f-3fc6f0638a04.jpg,,HOMBRE,MENOS_18,NINGUNA,100
540,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92612030924268,29.089248447631128,2023-12-15 00:19:11.677542+00:00,images/95e0720d-ea61-4c14-a6ce-c2c85eef8a58.jpg,queremos limpieza para que no se inunde pienso que con su mantenimiento será un área buena,MUJER,36_45,NINGUNA,59
536,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92755872020948,29.09026903431961,2023-12-15 00:18:48.750706+00:00,,,HOMBRE,MAS_65,NINGUNA,86
533,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92628271586692,29.08887206484945,2023-12-15 00:18:48.750475+00:00,images/56df926e-75e6-49d8-80de-f7c143226d6e.jpg,la comunidad lo nececita,HOMBRE,MAS_65,NINGUNA,100
529,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92519587582422,29.08771408021816,2023-12-15 00:18:48.750186+00:00,images/ca8a2ab9-676d-48b2-a405-6968ed40be55.jpg,mucha utilidad para los vecinos,HOMBRE,MAS_65,NINGUNA,86
507,Bienestar Socioeconómico,Actividades de comercio local,104,-110.9261535044511,29.089750281050875,2023-12-15 00:13:28.261659+00:00,,,HOMBRE,26_35,NINGUNA,33
439,Bienestar Socioeconómico,Actividades de comercio local,104,-0.0087088862345297,-0.0028866181033038,2023-12-15 00:01:47.313954+00:00,,,MUJER,26_35,NINGUNA,66
438,Bienestar Socioeconómico,Actividades de comercio local,104,-0.0087088862345297,-0.0028866181033038,2023-12-15 00:01:47.313890+00:00,,,MUJER,26_35,NINGUNA,73
436,Bienestar Socioeconómico,Actividades de comercio local,104,-0.0087088862345297,-0.0028866181033038,2023-12-15 00:01:47.313760+00:00,,,MUJER,26_35,NINGUNA,66
425,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92642227003432,29.088027193042286,2023-12-15 00:01:35.703493+00:00,,,MUJER,46_55,VISUAL,93
424,Bienestar Socioeconómico,Actividades de comercio local,104,-110.92642227003432,29.088027193042286,2023-12-15 00:01:35.703429+00:00,,,MUJER,46_55,VISUAL,73
396,Bienestar Socioeconómico,Actividades de comercio local,104,-110.9239496094574,29.094644736092697,2023-12-15 00:00:53.245565+00:00,,,MUJER,MENOS_18,NINGUNA,80
519,Bienestar Socioeconómico,Actividades de participación comunitaria,105,-110.92745240444052,29.09052748099865,2023-12-15 00:13:28.262809+00:00,images/f0d78e8b-9eb6-4681-b153-b9eba1afdab5.jpg,,HOMBRE,26_35,NINGUNA,40
582,Bienestar Socioeconómico,Actividades deportivas,106,-110.92656949999486,29.092189664702303,2023-12-15 00:25:40.792900+00:00,images/c5425837-5494-43d1-ad58-87271a07e832.jpg,descuidada ,MUJER,56_65,VISUAL,73
571,Bienestar Socioeconómico,Actividades deportivas,106,-110.9255759457577,29.088726311356886,2023-12-15 00:23:36.624852+00:00,images/ecd0e224-bc28-4742-a542-73d6290edede.jpg,queremos un lugar optimo ,MUJER,46_55,NINGUNA,80
549,Bienestar Socioeconómico,Actividades deportivas,106,-110.92503466167058,29.088006594243367,2023-12-15 00:20:51.282262+00:00,images/705ae301-390d-4c22-94a0-b96c3d943784.jpg,,HOMBRE,MENOS_18,NINGUNA,80
547,Bienestar Socioeconómico,Actividades deportivas,106,-110.92532457884867,29.088399954572395,2023-12-15 00:20:51.282066+00:00,,no podemos jugar béisbol pq es mu chiquita ,HOMBRE,MENOS_18,NINGUNA,100
538,Bienestar Socioeconómico,Actividades deportivas,106,-110.92612030924268,29.089248447631128,2023-12-15 00:19:11.677385+00:00,images/6f7f93c9-be75-48f6-964e-6e1500079906.jpg,prestar más trabajos de limpieza ,MUJER,36_45,NINGUNA,73
525,Bienestar Socioeconómico,Actividades deportivas,106,-110.92664730443244,29.092168812315656,2023-12-15 00:13:28.263443+00:00,images/749cea44-5025-4d47-ae66-76fffea9c6ac.jpg,,HOMBRE,26_35,NINGUNA,46
508,Bienestar Socioeconómico,Actividades deportivas,106,-110.9261535044511,29.089750281050875,2023-12-15 00:13:28.261757+00:00,,,HOMBRE,26_35,NINGUNA,33
490,Bienestar Socioeconómico,Actividades deportivas,106,-110.92648585052297,29.089845466743355,2023-12-15 00:11:53.997724+00:00,,,HOMBRE,18_25,NINGUNA,60
489,Bienestar Socioeconómico,Actividades deportivas,106,-110.92735819452524,29.08953217957552,2023-12-15 00:11:53.997604+00:00,,,HOMBRE,18_25,NINGUNA,60
421,Bienestar Socioeconómico,Actividades deportivas,106,-110.92617049999716,29.08975396480744,2023-12-15 00:01:35.703126+00:00,images/0b61a4dc-95f4-409f-9bfd-a0f3be877274.jpg,no hay vancas ni lugares cómodos para poder observar los juegos cómodamente.  además que no hay limpieza por parte de los jugadores y dejan botes de cerveza y de alimentos ,MUJER,46_55,VISUAL,53
360,Bienestar Socioeconómico,Actividades deportivas,106,-110.92519506410989,29.08861739625885,2023-12-14 23:18:48.603662+00:00,,,MUJER,18_25,NINGUNA,60
520,Bienestar Socioeconómico,"Mercados locales, fruterías, verdulerías",107,-110.92826420442742,29.09122738096525,2023-12-15 00:13:28.262905+00:00,,,HOMBRE,26_35,NINGUNA,66
398,Bienestar Socioeconómico,"Mercados locales, fruterías, verdulerías",107,-110.92626338855511,29.092386775386643,2023-12-15 00:00:53.245697+00:00,,,MUJER,MENOS_18,NINGUNA,77
685,Calidad medioambiental,Contaminación del aire,109,-110.92605153090224,29.090105865716158,2023-12-15 00:28:41.391321+00:00,images/b63285ae-f855-4e27-9604-1fb004dd92d0.jpg,mal olor por drenaje abierto h acumulación de agua,MUJER,56_65,NINGUNA,0
684,Calidad medioambiental,Contaminación del aire,109,-110.92599873089712,29.0903317656786,2023-12-15 00:28:41.391213+00:00,images/0df1a563-2541-411a-a6fc-a9da03b8f5e8.jpg,,MUJER,56_65,NINGUNA,0
670,Calidad medioambiental,Contaminación del aire,109,-110.92490900525786,29.08959777925437,2023-12-15 00:28:41.389591+00:00,images/485ee678-2802-4315-ad37-3c4b73b8d429.jpg,,MUJER,56_65,NINGUNA,0
669,Calidad medioambiental,Contaminación del aire,109,-110.92490083090463,29.08961206575021,2023-12-15 00:28:41.389453+00:00,images/3abdc652-c3da-4338-8312-003542023ec2.jpg,mal olor de drenaje,MUJER,56_65,NINGUNA,0
663,Calidad medioambiental,Contaminación del aire,109,-110.92560670000503,29.090061454718352,2023-12-15 00:26:59.264739+00:00,images/46d78dd8-48e3-4b33-a838-2374b138f10d.jpg,drenaje,MUJER,36_45,NINGUNA,0
661,Calidad medioambiental,Contaminación del aire,109,-110.92492014095664,29.093163054370343,2023-12-15 00:26:59.264570+00:00,images/a64d4c34-016e-431d-8c20-0c21dc1ad3d7.jpg,quema de basura es un tiradero clandestino acomulacipn de basura pues ya ven en la foto,MUJER,36_45,NINGUNA,0
660,Calidad medioambiental,Contaminación del aire,109,-110.92480570000345,29.093173054498344,2023-12-15 00:26:59.264487+00:00,images/326f54eb-3c06-469e-9258-a1d98000f847.jpg,,MUJER,36_45,NINGUNA,9
656,Calidad medioambiental,Contaminación del aire,109,-110.92689200000012,29.09399845445753,2023-12-15 00:26:59.264112+00:00,images/316eede5-9f81-48b4-ae5b-666c9078e0ab.jpg,mucho esmoc polvo y mal olor,MUJER,36_45,NINGUNA,0
650,Calidad medioambiental,Contaminación del aire,109,-110.92612141183346,29.08982185475228,2023-12-15 00:26:59.263493+00:00,images/abdfecc6-054b-4ffa-a84f-17d35d92f2cc.jpg,,MUJER,36_45,NINGUNA,24
647,Calidad medioambiental,Contaminación del aire,109,-110.92574199999784,29.09044256477272,2023-12-15 00:26:53.443097+00:00,images/668a3379-1980-479a-9d10-4503316d335f.jpg,,MUJER,MAS_65,VISUAL,0
625,Calidad medioambiental,Contaminación del aire,109,-110.92574199999784,29.09044256477272,2023-12-15 00:26:19.690399+00:00,images/1f24c5c0-1fc7-4068-a7a4-3bf517e83e47.jpg,,MUJER,MAS_65,VISUAL,0
570,Calidad medioambiental,Contaminación del aire,109,-110.92551236661194,29.08909855593908,2023-12-15 00:23:36.624732+00:00,,posición ilegal Pra quema.de.basura ,MUJER,46_55,NINGUNA,4
565,Calidad medioambiental,Contaminación del aire,109,-110.9281631891194,29.090176826602796,2023-12-15 00:20:51.283407+00:00,images/d4891431-e670-485e-a84b-dac6887da867.jpg,,HOMBRE,MENOS_18,NINGUNA,0
548,Calidad medioambiental,Contaminación del aire,109,-110.92578997121802,29.088893319105598,2023-12-15 00:20:51.282192+00:00,images/c80466a8-39ad-4b6d-8cd2-067b5145beb3.jpg,,HOMBRE,MENOS_18,NINGUNA,24
539,Calidad medioambiental,Contaminación del aire,109,-110.92612030924268,29.089248447631128,2023-12-15 00:19:11.677473+00:00,images/8ccb5681-ec1b-42e6-8b7a-e3bfc7e8f8aa.jpg,poseecion ilegal de sona Verde protejida para su uso de quema clandestina de basura ,MUJER,36_45,NINGUNA,12
509,Calidad medioambiental,Contaminación del aire,109,-110.9261535044511,29.089750281050875,2023-12-15 00:13:28.261841+00:00,,,HOMBRE,26_35,NINGUNA,28
498,Calidad medioambiental,Contaminación del aire,109,-110.92851421867148,29.091074835779324,2023-12-15 00:11:53.998422+00:00,images/2be4cd1c-f897-4458-8509-c839d6bdaca2.jpg,,HOMBRE,18_25,NINGUNA,0
495,Calidad medioambiental,Contaminación del aire,109,-110.92803951678894,29.09049356704719,2023-12-15 00:11:53.998194+00:00,,,HOMBRE,18_25,NINGUNA,0
493,Calidad medioambiental,Contaminación del aire,109,-110.92618419240688,29.09041269153949,2023-12-15 00:11:53.997961+00:00,,,HOMBRE,18_25,NINGUNA,0
492,Calidad medioambiental,Contaminación del aire,109,-110.92697115536872,29.09033828427514,2023-12-15 00:11:53.997882+00:00,,,HOMBRE,18_25,NINGUNA,44
451,Calidad medioambiental,Contaminación del aire,109,-0.0087088862345297,-0.0028866181033038,2023-12-15 00:01:47.314793+00:00,,,MUJER,26_35,NINGUNA,0
431,Calidad medioambiental,Contaminación del aire,109,-0.0057303916508999,0.0002545275273959,2023-12-15 00:01:47.313411+00:00,,,MUJER,26_35,NINGUNA,0
430,Calidad medioambiental,Contaminación del aire,109,-0.0057303916508999,0.0002545275273959,2023-12-15 00:01:47.313346+00:00,,,MUJER,26_35,NINGUNA,0
361,Calidad medioambiental,Contaminación del aire,109,-110.92563679541531,29.08983905379222,2023-12-14 23:18:48.603743+00:00,,,MUJER,18_25,NINGUNA,0
712,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92791580000878,29.09057986477004,2023-12-15 00:33:49.550537+00:00,images/dd345b8a-a2a0-43d0-8c38-f96c420941c0.jpg,,HOMBRE,18_25,NINGUNA,66
703,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92453433772164,29.089490426319543,2023-12-15 00:29:53.386783+00:00,images/3ed0cf12-1838-4be3-a557-1fc5967911aa.jpg,,HOMBRE,36_45,NINGUNA,14
607,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92578882613768,29.090530274060622,2023-12-15 00:26:16.017247+00:00,images/1533f6b8-4c4b-4dd1-a454-db1a3725f80a.jpg,,MUJER,36_45,NINGUNA,9
517,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92745240444052,29.09052748099865,2023-12-15 00:13:28.262612+00:00,images/f1917e7a-f93f-4466-851e-c8b61de0cd45.jpg,,HOMBRE,26_35,NINGUNA,0
496,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92746731317564,29.09041356380397,2023-12-15 00:11:53.998292+00:00,images/0d247e43-0917-43b6-bc64-350ee2fed6f6.jpg,,HOMBRE,18_25,NINGUNA,33
479,Calidad medioambiental,Drenaje y alcantarillado,110,-110.92769248241888,29.09020962355717,2023-12-15 00:11:33.407775+00:00,images/07fe623b-2dee-4504-8fe7-703ea670fb61.jpg,,MUJER,18_25,NINGUNA,6
